pollutant,country,month_day,value_numeric_mean,value_datetime_begin,day
SO2,Switzerland,520.0,0.17098125,2023-05-20 19:00:00,
SO2,Switzerland,520.0,0.17098125,2023-05-20 21:00:00,
SO2,Undefined,520.0,0.8749853816666666,2023-05-20 22:00:00,
SO2,Undefined,520.0,0.8749853816666666,2023-05-20 21:00:00,
SO2,Undefined,520.0,0.8749853816666666,2023-05-20 20:00:00,
SO2,Undefined,520.0,0.8749853816666666,2023-05-20 19:00:00,
SO2,Undefined,520.0,0.8749853816666666,2023-05-20 18:00:00,
SO2,Spain,520.0,3.054183778234086,2023-05-20 17:00:00,
SO2,Spain,520.0,3.054183778234086,2023-05-20 18:00:00,
PM10,Switzerland,520.0,15.2992908045977,2023-05-20 22:00:00,
PM10,Switzerland,520.0,15.2992908045977,2023-05-20 21:00:00,
PM10,Switzerland,520.0,15.2992908045977,2023-05-20 20:00:00,
PM10,Switzerland,520.0,15.2992908045977,2023-05-20 19:00:00,
PM10,Switzerland,520.0,15.2992908045977,2023-05-20 18:00:00,
PM10,Switzerland,520.0,15.2992908045977,2023-05-20 17:00:00,
O3,Switzerland,520.0,48.06132068965517,2023-05-20 19:00:00,
CO,Undefined,520.0,0.2233812944444444,2023-05-20 17:00:00,
O3,Switzerland,520.0,48.06132068965517,2023-05-20 18:00:00,
O3,Switzerland,520.0,48.06132068965517,2023-05-20 22:00:00,
O3,Switzerland,520.0,48.06132068965517,2023-05-20 21:00:00,
O3,Switzerland,520.0,48.06132068965517,2023-05-20 20:00:00,
SO2,Spain,520.0,3.054183778234086,2023-05-20 20:00:00,
SO2,Spain,520.0,3.054183778234086,2023-05-20 21:00:00,
SO2,Spain,520.0,3.054183778234086,2023-05-20 22:00:00,
CO,Switzerland,520.0,0.2924703703703704,2023-05-20 22:00:00,
CO,Switzerland,520.0,0.2924703703703704,2023-05-20 21:00:00,
CO,Switzerland,520.0,0.2924703703703704,2023-05-20 20:00:00,
CO,Switzerland,520.0,0.2924703703703704,2023-05-20 19:00:00,
CO,Switzerland,520.0,0.2924703703703704,2023-05-20 18:00:00,
CO,Switzerland,520.0,0.2924703703703704,2023-05-20 17:00:00,
SO2,Switzerland,520.0,0.17098125,2023-05-20 20:00:00,
SO2,Switzerland,520.0,0.17098125,2023-05-20 22:00:00,
O3,Switzerland,520.0,48.06132068965517,2023-05-20 17:00:00,
CO,Austria,520.0,0.225197500647482,2023-05-20 17:00:00,
SO2,Finland,520.0,1.1903254809523809,2023-05-20 22:00:00,
CO,Andorra,520.0,0.15,2023-05-20 21:00:00,
SO2,Andorra,520.0,0.3166666666666666,2023-05-20 19:00:00,
CO,Andorra,520.0,0.15,2023-05-20 18:00:00,
CO,Andorra,520.0,0.15,2023-05-20 17:00:00,
SO2,Austria,520.0,2.3468204729281767,2023-05-20 22:00:00,
SO2,Austria,520.0,2.3468204729281767,2023-05-20 18:00:00,
SO2,Austria,520.0,2.3468204729281767,2023-05-20 19:00:00,
